File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002CRE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECF	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RFX5-human	DNA					False	2011-10-29	ENCODE												45540	ENCODE Consortium Analysis Working Group	00ef9b64eaa81ab9f224df53b1a1b882		https://www.encodeproject.org/files/ENCFF002CRE/@@download/ENCFF002CRE.bed.gz	hg19				archived	s3://encode-public/2014/06/06/d8316b33-60a4-4e25-9a20-3b408b18347f/ENCFF002CRE.narrowPeak.gz				
ENCFF447QXT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECF	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RFX5-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF107RYF, ENCFF323MMZ, ENCFF577WFW	42015	ENCODE Processing Pipeline	2c4ecf570a93875da4f921f636a2e02f		https://www.encodeproject.org/files/ENCFF447QXT/@@download/ENCFF447QXT.bed.gz	hg19				released	s3://encode-public/2017/12/09/f7896f0f-ec32-4d86-865b-aa25f96664b9/ENCFF447QXT.bed.gz				
ENCFF002CJJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA					False	2011-07-18	ENCODE												74149	ENCODE Consortium Analysis Working Group	bcd6754c04414593085c871e04823a05		https://www.encodeproject.org/files/ENCFF002CJJ/@@download/ENCFF002CJJ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/b3322a10-3b8d-4257-98a8-ba0a090aef27/ENCFF002CJJ.narrowPeak.gz				
ENCFF318SDF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIX5-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF493YRO, ENCFF883CRS, ENCFF946SYP	56542	ENCODE Processing Pipeline	a99c9330c815a30deec33b4d13251ca2		https://www.encodeproject.org/files/ENCFF318SDF/@@download/ENCFF318SDF.bed.gz	hg19				released	s3://encode-public/2017/12/08/1b3e9cd0-f8a8-4c57-b88e-2118cf8c0c5d/ENCFF318SDF.bed.gz				
ENCFF002CIR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BQU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ATF2-human	DNA					False	2012-02-29	ENCODE												118301	ENCODE Consortium Analysis Working Group	66a01dd4dd761a453e0df773d22543f7		https://www.encodeproject.org/files/ENCFF002CIR/@@download/ENCFF002CIR.bed.gz	hg19				archived	s3://encode-public/2014/06/06/143cb865-05d4-4ea6-8157-f6d22c4b532a/ENCFF002CIR.narrowPeak.gz				
ENCFF002CJA	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BMT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										NANOG-human	DNA					False	2011-07-18	ENCODE												108870	ENCODE Consortium Analysis Working Group	85375df67cc6902a9b09a7f7537c81f4		https://www.encodeproject.org/files/ENCFF002CJA/@@download/ENCFF002CJA.bed.gz	hg19				archived	s3://encode-public/2014/06/06/a2e1e586-c396-42e1-9bcc-cebbf94182a6/ENCFF002CJA.narrowPeak.gz				
ENCFF379EPK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BMT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										NANOG-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF482QCD, ENCFF537QBW, ENCFF637UCH	146369	ENCODE Processing Pipeline	7ca39501c1ae70ddd76818ac016a1ea6		https://www.encodeproject.org/files/ENCFF379EPK/@@download/ENCFF379EPK.bed.gz	hg19				released	s3://encode-public/2017/12/08/b2d61850-1fa9-483a-a27e-cf9da64aed58/ENCFF379EPK.bed.gz				
ENCFF002CIW	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										FOSL1-human	DNA					False	2011-07-18	ENCODE												23367	ENCODE Consortium Analysis Working Group	87b3080e3d4809021de0b609dfd15d90		https://www.encodeproject.org/files/ENCFF002CIW/@@download/ENCFF002CIW.bed.gz	hg19				archived	s3://encode-public/2014/06/06/16b7938b-9ae0-44b1-8fb6-3394f197a497/ENCFF002CIW.narrowPeak.gz				
ENCFF418RZE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BNS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										FOSL1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF338LQY, ENCFF754FCZ, ENCFF823FFU	22674	ENCODE Processing Pipeline	545aadabf867370d3f560aacd02b24a1		https://www.encodeproject.org/files/ENCFF418RZE/@@download/ENCFF418RZE.bed.gz	hg19				released	s3://encode-public/2017/12/08/caf82d33-1ee4-4928-bd56-a4fc24d1d182/ENCFF418RZE.bed.gz				
ENCFF002DAR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DLK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA					False	2011-03-17	ENCODE												775431	ENCODE Consortium Analysis Working Group	94d260bfb6b2aa8ab39d8332381857b5		https://www.encodeproject.org/files/ENCFF002DAR/@@download/ENCFF002DAR.bed.gz	hg19				archived	s3://encode-public/2014/06/06/10cc0845-ca4e-467e-bdd6-437c83073d68/ENCFF002DAR.narrowPeak.gz				
ENCFF002CJT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										YY1-human	DNA					False	2011-07-18	ENCODE												360295	ENCODE Consortium Analysis Working Group	4b11a8fb4cb32982db9903bb88c63fd5		https://www.encodeproject.org/files/ENCFF002CJT/@@download/ENCFF002CJT.bed.gz	hg19				archived	s3://encode-public/2014/06/06/74262a22-e148-4b5b-b887-c24b6a3d547e/ENCFF002CJT.narrowPeak.gz				
ENCFF686VJY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										YY1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF052MDZ, ENCFF535RGW, ENCFF654AYS	425021	ENCODE Processing Pipeline	528631c3a11fa1a1f12c9340d582e94c		https://www.encodeproject.org/files/ENCFF686VJY/@@download/ENCFF686VJY.bed.gz	hg19				released	s3://encode-public/2017/07/07/132696ab-6df6-40bb-9b6d-04c2cbbecf29/ENCFF686VJY.bed.gz				
ENCFF002CQS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD1-human	DNA					False	2012-05-14	ENCODE												59003	ENCODE Consortium Analysis Working Group	ec39af486e81438e1a000f6734ea6ac4		https://www.encodeproject.org/files/ENCFF002CQS/@@download/ENCFF002CQS.bed.gz	hg19				archived	s3://encode-public/2014/06/06/08d33f2c-c34f-49fc-952f-1144acce0961/ENCFF002CQS.narrowPeak.gz				
ENCFF607EOG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD1-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF230JPS, ENCFF596NPF, ENCFF653VPD	39955	ENCODE Processing Pipeline	ec82db6be939dc42c78bf6547264fba9		https://www.encodeproject.org/files/ENCFF607EOG/@@download/ENCFF607EOG.bed.gz	hg19				released	s3://encode-public/2017/12/09/20a4568e-555f-408f-816a-f05dc02b0756/ENCFF607EOG.bed.gz				
ENCFF002CJL	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BQG	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SP2-human	DNA					False	2012-02-29	ENCODE												56694	ENCODE Consortium Analysis Working Group	5e1120895d68ba85d9ad08965d24d93d		https://www.encodeproject.org/files/ENCFF002CJL/@@download/ENCFF002CJL.bed.gz	hg19				archived	s3://encode-public/2014/06/06/54df8397-bea4-4849-80a7-eb10139aa7e4/ENCFF002CJL.narrowPeak.gz				
ENCFF002CJS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										USF1-human	DNA					False	2011-07-18	ENCODE												507608	ENCODE Consortium Analysis Working Group	5ae1a553c320884a6b9f7f1447a88d93		https://www.encodeproject.org/files/ENCFF002CJS/@@download/ENCFF002CJS.bed.gz	hg19				archived	s3://encode-public/2014/06/06/afff4749-e9e0-484c-9fd4-d14748aacf45/ENCFF002CJS.narrowPeak.gz				
